Table Name,State Code,District Code,Area Name,Division,Sub Division,NCO Name,Total/Rural/Urban,Industrial Category - Total - Persons,Industrial Category - Total - Males,Industrial Category - Total - Females,"Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Persons","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Males","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0123A,29,560,District - Koppal,9,93,"Labourers in Mining, Construction, Manufacturing and Transport",Total,14670,12726,1944,492,350,142,294,250,44,60,54,6,3346,2876,470,36,26,10,6908,5900,1008,0,0,0,1082,1004,78,1942,1830,112,38,26,12,0,0,0,12,10,2,16,16,0,190,170,20,22,14,8,0,0,0,232,200,32
B0123A,29,560,District - Koppal,9,93,"Labourers in Mining, Construction, Manufacturing and Transport",Rural,9080,7908,1172,316,216,100,266,224,42,48,42,6,2402,2108,294,34,24,10,4124,3532,592,0,0,0,470,446,24,1100,1034,66,2,2,0,0,0,0,2,0,2,10,10,0,120,108,12,2,0,2,0,0,0,184,162,22
B0123A,29,560,District - Koppal,9,93,"Labourers in Mining, Construction, Manufacturing and Transport",Urban,5590,4818,772,176,134,42,28,26,2,12,12,0,944,768,176,2,2,0,2784,2368,416,0,0,0,612,558,54,842,796,46,36,24,12,0,0,0,10,10,0,6,6,0,70,62,8,20,14,6,0,0,0,48,38,10
B0123A,29,560,District - Koppal,X,00,Workers not Classified by Occupations,Total,20020,12126,7894,106,54,52,26,20,6,5464,4324,1140,384,328,56,54,34,20,50,34,16,112,108,4,212,176,36,486,476,10,276,146,130,18,18,0,42,30,12,110,88,22,328,266,62,1126,736,390,2564,1426,1138,8662,3862,4800
B0123A,29,560,District - Koppal,X,00,Workers not Classified by Occupations,Rural,14184,8396,5788,78,44,34,26,20,6,4172,3252,920,234,198,36,34,26,8,30,16,14,94,94,0,108,94,14,258,256,2,164,72,92,18,18,0,20,12,8,62,48,14,206,172,34,650,444,206,2152,1138,1014,5878,2492,3386
B0123A,29,560,District - Koppal,X,00,Workers not Classified by Occupations,Urban,5836,3730,2106,28,10,18,0,0,0,1292,1072,220,150,130,20,20,8,12,20,18,2,18,14,4,104,82,22,228,220,8,112,74,38,0,0,0,22,18,4,48,40,8,122,94,28,476,292,184,412,288,124,2784,1370,1414
B0123A,29,560,District - Koppal,X,X9,Workers not Classified by Occupations,Total,20020,12126,7894,106,54,52,26,20,6,5464,4324,1140,384,328,56,54,34,20,50,34,16,112,108,4,212,176,36,486,476,10,276,146,130,18,18,0,42,30,12,110,88,22,328,266,62,1126,736,390,2564,1426,1138,8662,3862,4800
B0123A,29,560,District - Koppal,X,X9,Workers not Classified by Occupations,Rural,14184,8396,5788,78,44,34,26,20,6,4172,3252,920,234,198,36,34,26,8,30,16,14,94,94,0,108,94,14,258,256,2,164,72,92,18,18,0,20,12,8,62,48,14,206,172,34,650,444,206,2152,1138,1014,5878,2492,3386
B0123A,29,560,District - Koppal,X,X9,Workers not Classified by Occupations,Urban,5836,3730,2106,28,10,18,0,0,0,1292,1072,220,150,130,20,20,8,12,20,18,2,18,14,4,104,82,22,228,220,8,112,74,38,0,0,0,22,18,4,48,40,8,122,94,28,476,292,184,412,288,124,2784,1370,1414
B0123A,29,561,District - Gadag,0,00,Total,Total,144876,113978,30898,8074,5676,2398,1022,840,182,9638,6674,2964,18412,14010,4402,1274,1218,56,16834,15594,1240,176,170,6,26434,23408,3026,14102,13776,326,4188,3396,792,30,30,0,1034,948,86,3800,3538,262,7474,6450,1024,15948,8364,7584,2386,1180,1206,14050,8706,5344
